"Body_size" "Stem_length"
"Aethocrinus" 1.42602456822998 3.51532974595939
"Alphacrinus" 2.09252341072253 1.82555494821046
"Amabilicrinus" 7.42142512087535 4.96690337152722
"Apektocrinus" 1.62948656328261 1.22321419659983
"Botryocrinus" 2.9961405466144 0.943514065333035
"Carabocrinus" 2.14811189946687 3.87622472904089
"Codiacrinus" 6.2762626691365 7.64795826012737
"Colpodecrinus" 3.08444366298102 1.03093171566132
"Corematocrinus" 6.21849972900174 3.36880098873836
"Crotalocrinites" 5.47909169680201 3.77150407752327
"Cupulocrinus" 3.22685309596771 3.33262887113581
"Dendrocrinus" 3.00631019009164 2.89999709967189
"Euspirocrinus" 2.46496418473989 1.63474337198483
"Eustenocrinus" 1.38060255197133 9.5518742277958
"Gasterocoma" 6.37060961700867 8.2121355996718
"Glossocrinus" 7.46921382209012 4.56694771303527
"Homalocrinus" 3.92779402867012 5.35452778780438
"Ibexocrinus" 2.02086780791513 7.48932004489715
"Hybocrinus" 3.32621549170407 3.694721584387
"Hybocystites" 1.60036943393854 2.52041581418106
"Icthyocrinus" 4.80473548589249 5.04788192307248
"Iocrinus" 1.14017100668524 6.36419682324831
"Lecanocrinus" 1.96787566504682 3.5496186343809
"Lecythocrinus" 2.65104905165795 2.77088664047092
"Heviacrinus" 3.0549303755246 8.60840565637523
"Manicrinus" 4.85278875011682 0.553355443480645
"Mastigocrinus" 1.74252344718166 0.214495601441979
"Merocrinus" 1.96827812674715 4.36005997444785
"Metabolocrinus" 0.520925209678861 4.29003504896306
"Ottawacrinus" 4.23127705752319 0.265909438353463
"Petalocrinus" 4.96005241742317 2.56798840462515
"Plicodendrocrinus" 3.1774202477725 3.62873507369893
"Porocrinus" 2.29950827294716 5.14564422929546
"Proctothylacocrinus" 4.1327032550457 4.82883099683999
"Protaxocrinus" 3.91281553891064 4.29888881301851
"Rhenocrinus" 6.47127772717244 2.1417347692829
"Rutkowskicrinus" 5.45162168370768 2.65573558029767
"Sagenocrinites" 4.50296060924387 7.87610467731737
"Sphaerocrinus" 5.55790114751384 8.91779645661449
"Streblocrinus" 5.68076090865618 9.95377824399316
"Thalamocrinus" 5.19562280111697 4.84440193668603
"Thenarocrinus" 2.40466228337151 1.02827841792637
